Country		Continent	1980	1980%	1981	1981%	1982	1982%	1983	1983%	1984	1984%	1985	1985 %	1986	1986 %	1987	1987 %	1988	1988%	1989	1989%	1990	1990 %	1991	1991 %	1992	1992%	1993	1993 %	1994	1994 %	1995	1995 %	1996	1996 %	1997	1997 %	1998	1998 %	1999	1999 %	2000	2000 %	2001	2001 %	2002	2002 %	2003	2003 %	2004	2004 %	2005	2005 %	2006	2006 %	2007	2007 %	2008	2008 %	2009	2009 %	2010	2010 %	2011	2011 %	2012	2012 %	2013	2013 %	2014	2014 %	2015	2015 %
China		asia	$309,060	2.77%	$292,366	2.57%	$286,561	2.57%	$307,469	2.69%	$316,519	2.67%	$312,780	2.55%	$303,177	2.10%	$330,055	1.99%	$411,736	2.21%	$459,783	2.35%	$404,495	1.86%	$424,116	1.84%	$499,859	2.00%	$641,064	2.50%	$582,673	2.12%	$756,964	2.47%	$892,010	2.83%	$985,044	3.14%	$1,045,200	3.35%	$1,100,775	3.42%	$1,192,854	3.59%	$1,317,236	3.99%	$1,455,560	4.25%	$1,650,514	4.28%	$1,944,674	4.48%	$2,287,258	4.86%	$2,793,159	5.48%	$3,504,605	6.10%	$4,547,716	7.22%	$5,105,769	8.55%	$5,949,648	9.12%	$7,314,482	10.12%	$8,386,678	11.40%	$9,469,125	12.53%	$10,380,380	13.41%	$11,211,928	15.03%
Japan		asia	$1,086,988	9.75%	$1,201,466	10.56%	$1,116,841	10.01%	$1,218,107	10.66%	$1,294,609	10.92%	$1,384,532	11.27%	$2,051,061	14.20%	$2,485,237	14.99%	$3,015,394	16.20%	$3,017,052	15.43%	$3,103,699	14.25%	$3,536,803	15.33%	$3,852,794	15.40%	$4,414,964	17.19%	$4,850,349	17.61%	$5,333,927	17.38%	$4,706,189	14.93%	$4,324,279	13.78%	$3,914,575	12.56%	$4,432,598	13.76%	$4,731,199	14.26%	$4,159,859	12.62%	$3,980,819	11.61%	$4,302,940	11.16%	$4,655,823	10.72%	$4,571,867	9.72%	$4,356,750	8.55%	$4,356,347	7.58%	$4,849,185	7.70%	$5,035,141	8.43%	$5,495,387	8.43%	$5,905,631	8.17%	$5,954,475	8.10%	$4,919,564	6.51%	$4,616,335	5.97%	$4,210,363	5.64%
India		asia	$181,416	1.63%	$195,861	1.72%	$202,861	1.82%	$222,049	1.94%	$215,556	1.82%	$237,618	1.93%	$252,751	1.75%	$283,750	1.71%	$299,645	1.61%	$300,187	1.54%	$326,608	1.50%	$274,842	1.19%	$293,262	1.17%	$284,194	1.11%	$333,014	1.21%	$366,600	1.19%	$399,791	1.27%	$423,189	1.35%	$428,767	1.38%	$466,841	1.45%	$476,636	1.44%	$493,934	1.50%	$523,768	1.53%	$618,369	1.60%	$721,589	1.66%	$834,218	1.77%	$949,118	1.86%	$1,238,700	2.16%	$1,224,096	1.94%	$1,365,373	2.29%	$1,708,460	2.62%	$1,843,018	2.55%	$1,835,821	2.50%	$1,875,157	2.48%	$2,049,501	2.65%	$2,308,018	3.09%
South Korea		asia	$64,981	0.58%	$72,426	0.64%	$77,773	0.70%	$87,025	0.76%	$96,598	0.81%	$100,273	0.82%	$115,537	0.80%	$146,134	0.88%	$196,965	1.06%	$243,528	1.25%	$279,348	1.28%	$325,733	1.41%	$350,051	1.40%	$386,302	1.50%	$455,605	1.65%	$556,129	1.81%	$598,097	1.90%	$557,504	1.78%	$374,242	1.20%	$485,250	1.51%	$561,634	1.69%	$533,050	1.62%	$609,021	1.78%	$680,518	1.77%	$764,881	1.76%	$898,137	1.91%	$1,011,797	1.99%	$1,122,679	1.95%	$1,002,219	1.59%	$901,935	1.51%	$1,094,499	1.68%	$1,202,464	1.66%	$1,222,807	1.66%	$1,304,468	1.73%	$1,416,949	1.83%	$1,435,076	1.92%
Russia		asia		0.00%		0.00%		0.00%		0.00%		0.00%		0.00%		0.00%		0.00%		0.00%		0.00%		0.00%		0.00%	$85,592	0.34%	$183,816	0.72%	$276,902	1.01%	$313,451	1.02%	$391,775	1.24%	$404,946	1.29%	$271,038	0.87%	$195,907	0.61%	$259,702	0.78%	$306,583	0.93%	$345,126	1.01%	$430,289	1.12%	$591,177	1.36%	$763,704	1.62%	$989,932	1.94%	$1,299,703	2.26%	$1,660,846	2.64%	$1,222,645	2.05%	$1,524,915	2.34%	$1,904,790	2.64%	$2,015,154	2.74%	$2,079,134	2.75%	$1,857,461	2.40%	$1,175,996	1.58%
Indonesia		asia	$104,285	0.94%	$116,417	1.02%	$119,516	1.07%	$108,331	0.95%	$110,935	0.94%	$110,588	0.90%	$101,391	0.70%	$96,073	0.58%	$106,664	0.57%	$121,880	0.62%	$137,467	0.63%	$153,976	0.67%	$167,128	0.67%	$190,913	0.74%	$213,727	0.78%	$244,227	0.80%	$274,722	0.87%	$260,680	0.83%	$115,323	0.37%	$169,158	0.52%	$179,482	0.54%	$174,507	0.53%	$212,807	0.62%	$255,428	0.66%	$279,556	0.64%	$310,815	0.66%	$396,293	0.78%	$470,144	0.82%	$558,582	0.89%	$577,539	0.97%	$755,256	1.16%	$892,590	1.24%	$919,002	1.25%	$912,502	1.21%	$888,648	1.15%	$895,677	1.20%
Turkey		asia	$94,258	0.85%	$95,496	0.84%	$86,766	0.78%	$82,911	0.73%	$80,642	0.68%	$90,580	0.74%	$100,483	0.70%	$115,898	0.70%	$121,901	0.65%	$144,085	0.74%	$202,247	0.93%	$203,491	0.88%	$213,783	0.85%	$242,468	0.94%	$174,990	0.64%	$227,810	0.74%	$244,386	0.78%	$255,647	0.81%	$269,528	0.87%	$250,334	0.78%	$266,671	0.80%	$196,057	0.59%	$232,450	0.68%	$303,123	0.79%	$392,233	0.90%	$482,737	1.03%	$529,278	1.04%	$646,425	1.13%	$730,628	1.16%	$614,389	1.03%	$731,539	1.12%	$774,729	1.07%	$788,605	1.07%	$821,918	1.09%	$806,108	1.04%	$752,510	1.01%
Taiwan		asia	$42,300	0.38%	$48,986	0.43%	$49,545	0.44%	$54,162	0.47%	$61,088	0.52%	$63,641	0.52%	$78,234	0.54%	$105,040	0.63%	$126,461	0.68%	$152,727	0.78%	$166,845	0.77%	$187,351	0.81%	$223,123	0.89%	$235,166	0.92%	$256,438	0.93%	$279,270	0.91%	$292,687	0.93%	$303,706	0.97%	$280,406	0.90%	$304,174	0.94%	$331,408	1.00%	$300,422	0.91%	$308,884	0.90%	$318,597	0.83%	$348,521	0.80%	$375,787	0.80%	$388,547	0.76%	$408,221	0.71%	$417,038	0.66%	$392,106	0.66%	$446,141	0.68%	$485,671	0.67%	$495,919	0.67%	$511,280	0.68%	$529,550	0.68%	$527,773	0.71%
Saudi Arabia		asia	$164,305	1.47%	$183,939	1.62%	$152,908	1.37%	$128,868	1.13%	$119,299	1.01%	$103,894	0.85%	$86,886	0.60%	$85,582	0.52%	$88,138	0.47%	$95,217	0.49%	$117,473	0.54%	$132,047	0.57%	$136,905	0.55%	$132,791	0.52%	$134,995	0.49%	$143,152	0.47%	$158,451	0.50%	$165,742	0.53%	$146,775	0.47%	$161,717	0.50%	$189,515	0.57%	$184,138	0.56%	$189,606	0.55%	$215,808	0.56%	$258,742	0.60%	$328,206	0.70%	$376,398	0.74%	$415,687	0.72%	$519,797	0.83%	$429,098	0.72%	$526,811	0.81%	$669,507	0.93%	$733,956	1.00%	$744,336	0.99%	$752,459	0.97%	$648,971	0.87%
Iran		asia	$101,461	0.91%	$115,329	1.01%	$144,331	1.29%	$175,751	1.54%	$182,220	1.54%	$86,413	0.70%	$90,169	0.62%	$103,856	0.63%	$91,069	0.49%	$87,878	0.45%	$91,941	0.42%	$105,345	0.46%	$124,187	0.50%	$92,919	0.36%	$72,595	0.26%	$98,287	0.32%	$119,693	0.38%	$115,071	0.37%	$105,894	0.34%	$113,237	0.35%	$104,348	0.31%	$126,875	0.38%	$128,627	0.38%	$151,911	0.39%	$181,485	0.42%	$218,335	0.46%	$257,773	0.51%	$337,326	0.59%	$391,165	0.62%	$396,738	0.66%	$463,971	0.71%	$564,459	0.78%	$418,913	0.57%	$380,348	0.50%	$404,132	0.52%	$393,495	0.53%
Thailand		asia	$32,353	0.29%	$34,848	0.31%	$36,591	0.33%	$40,043	0.35%	$41,799	0.35%	$38,900	0.32%	$43,097	0.30%	$50,535	0.30%	$61,667	0.33%	$72,251	0.37%	$85,640	0.39%	$96,188	0.42%	$109,426	0.44%	$121,796	0.47%	$144,308	0.52%	$168,019	0.55%	$181,948	0.58%	$150,891	0.48%	$111,860	0.36%	$122,630	0.38%	$122,725	0.37%	$115,536	0.35%	$126,877	0.37%	$142,640	0.37%	$161,340	0.37%	$176,352	0.38%	$207,089	0.41%	$246,977	0.43%	$272,578	0.43%	$263,711	0.44%	$318,908	0.49%	$345,672	0.48%	$365,966	0.50%	$387,253	0.51%	$373,804	0.48%	$386,291	0.52%
United Arab Emirates
asia	$40,415	0.36%	$45,002	0.40%	$41,848	0.38%	$38,345	0.34%	$38,012	0.32%	$37,310	0.30%	$29,568	0.20%	$32,466	0.20%	$32,999	0.18%	$38,090	0.19%	$49,090	0.23%	$49,821	0.22%	$52,208	0.21%	$53,438	0.21%	$57,450	0.21%	$63,637	0.21%	$70,991	0.23%	$76,202	0.24%	$73,394	0.24%	$82,865	0.26%	$103,893	0.31%	$103,312	0.31%	$109,816	0.32%	$124,346	0.32%	$147,824	0.34%	$180,617	0.38%	$222,117	0.44%	$257,916	0.45%	$315,475	0.50%	$253,547	0.42%	$286,049	0.44%	$347,454	0.48%	$372,314	0.51%	$402,340	0.53%	$401,647	0.52%	$363,707	0.49%
Malaysia		asia	$24,567	0.22%	$25,084	0.22%	$26,882	0.24%	$30,065	0.26%	$34,052	0.29%	$31,300	0.25%	$27,823	0.19%	$31,703	0.19%	$34,747	0.19%	$38,267	0.20%	$43,370	0.20%	$49,134	0.21%	$59,152	0.24%	$66,894	0.26%	$74,483	0.27%	$88,832	0.29%	$100,851	0.32%	$100,169	0.32%	$72,175	0.23%	$79,149	0.25%	$93,789	0.28%	$92,784	0.28%	$100,846	0.29%	$110,202	0.29%	$124,750	0.29%	$143,540	0.31%	$162,749	0.32%	$193,614	0.34%	$231,072	0.37%	$202,284	0.34%	$247,539	0.38%	$289,336	0.40%	$304,957	0.41%	$313,158	0.41%	$326,933	0.42%	$327,890	0.44%
Netherlands		europe	$189,096	1.70%	$158,492	1.39%	$153,551	1.38%	$149,495	1.31%	$139,147	1.17%	$141,174	1.15%	$196,748	1.36%	$240,985	1.45%	$257,725	1.38%	$253,946	1.30%	$313,332	1.44%	$322,734	1.40%	$357,195	1.43%	$347,371	1.35%	$373,133	1.35%	$445,184	1.45%	$442,732	1.40%	$410,293	1.31%	$431,767	1.39%	$440,515	1.37%	$414,609	1.25%	$426,457	1.29%	$466,123	1.36%	$572,010	1.48%	$646,919	1.49%	$673,525	1.43%	$720,044	1.41%	$834,346	1.45%	$935,707	1.49%	$860,261	1.44%	$837,949	1.29%	$894,576	1.24%	$823,595	1.12%	$853,806	1.13%	$866,354	1.12%	$749,365	1.00%
Switzerland		europe	$118,714	1.07%	$108,640	0.95%	$111,293	1.00%	$110,985	0.97%	$106,010	0.89%	$107,528	0.87%	$154,096	1.07%	$192,905	1.16%	$208,766	1.12%	$201,621	1.03%	$257,506	1.18%	$260,478	1.13%	$270,944	1.08%	$263,415	1.03%	$291,838	1.06%	$341,824	1.11%	$329,667	1.05%	$286,544	0.91%	$294,664	0.95%	$289,512	0.90%	$271,801	0.82%	$278,742	0.85%	$301,279	0.88%	$352,287	0.91%	$393,044	0.91%	$407,535	0.87%	$429,392	0.84%	$477,686	0.83%	$551,013	0.87%	$539,785	0.90%	$580,696	0.89%	$696,528	0.96%	$665,898	0.91%	$685,871	0.91%	$712,050	0.92%	$688,434	0.92%
Germany		europe	$849,657	7.62%	$714,858	6.28%	$690,259	6.19%	$688,632	6.02%	$648,809	5.47%	$657,903	5.35%	$939,647	6.50%	$1,169,290	7.05%	$1,260,617	6.77%	$1,251,431	6.40%	$1,591,060	7.31%	$1,866,725	8.09%	$2,127,854	8.51%	$2,069,688	8.06%	$2,210,829	8.03%	$2,592,715	8.45%	$2,502,443	7.94%	$2,218,647	7.07%	$2,242,990	7.20%	$2,199,570	6.83%	$1,952,920	5.89%	$1,949,602	5.91%	$2,083,653	6.08%	$2,507,101	6.50%	$2,819,292	6.49%	$2,862,521	6.09%	$3,001,251	5.89%	$3,440,446	5.99%	$3,764,675	5.98%	$3,421,630	5.73%	$3,418,371	5.24%	$3,755,549	5.20%	$3,535,199	4.81%	$3,731,427	4.94%	$3,859,547	4.99%	$3,413,483	4.57%
United Kingdom
europe	$565,512	5.07%	$545,679	4.79%	$516,078	4.63%	$489,990	4.29%	$463,636	3.91%	$494,228	4.02%	$601,929	4.17%	$747,282	4.51%	$911,471	4.90%	$928,912	4.75%	$1,098,800	5.05%	$1,146,490	4.97%	$1,186,732	4.74%	$1,063,030	4.14%	$1,141,346	4.14%	$1,235,906	4.03%	$1,305,911	4.14%	$1,439,174	4.59%	$1,529,355	4.91%	$1,558,667	4.84%	$1,551,752	4.68%	$1,529,619	4.64%	$1,677,162	4.89%	$1,945,762	5.05%	$2,299,259	5.29%	$2,415,053	5.14%	$2,586,548	5.07%	$2,964,399	5.16%	$2,814,476	4.47%	$2,318,782	3.88%	$2,409,409	3.70%	$2,594,114	3.59%	$2,624,291	3.57%	$2,680,123	3.55%	$2,945,146	3.81%	$2,853,357	3.82%
